87	61
70	56
91	22
68	0
28	38
32	88
79	98
52	57
34	69
45	60
28	15
65	56
24	99
100	92
62	54
81	96
17	49
37	16
16	74
11	71
25	44
7	10
67	3
38	60
86	0
82	84
5	14
79	12
4	96
15	79
40	66
81	96
12	23
97	18
89	95
5	74
84	80
83	12
38	17
84	21
71	24
4	32
44	76
71	83
27	14
47	53
48	33
56	27
11	26
88	18
93	67
46	93
71	42
59	29
16	9
100	9
41	53
95	3
52	51
66	31
84	80
79	12
5	99
91	35
19	17
50	78
36	11
20	96
91	74
49	45
54	73
25	48
51	61
12	86
17	2
48	78
56	0
65	94
95	61
44	56
100	13
92	94
56	2
76	11
22	46
19	91
38	77
37	10
97	55
23	15
93	80
46	72
31	14
76	11
67	25
38	86
46	32
34	29
6	1
13	76
